userid,foodanddrinkname,rating
64,jagung,1
64,kacang,1
64,tahu,1
64,sate,1
64,gorengan kering,1
64,es krim,1
64,ubi,1
64,luar negeri,5
64,gorengan basah,1
64,berkuah,1
64,cendol,5
64,es campur,5
64,bubble tea,1
64,susu,1
64,jus buah,1
64,soft drink,1
64,es doger,1
64,teh,5
64,kopi,1
64,air mineral,1
64,air kelapa,1
65,nasi goreng,1
65,mie kuah,5
65,nasi,1
65,mie,5
65,bakso,1
65,bubur,5
65,ayam,5
65,kue,1
65,buah,1
65,roti,5
65,jagung,1
65,kacang,1
65,tahu,1
65,sate,5
65,gorengan kering,1
65,es krim,5
65,ubi,5
65,luar negeri,1
65,gorengan basah,1
65,berkuah,1
65,cendol,1
65,es campur,1
65,bubble tea,5
65,susu,5
65,jus buah,5
65,soft drink,5
65,es doger,1
65,teh,1
65,kopi,1
65,air mineral,1
65,air kelapa,1
66,nasi goreng,1
66,mie kuah,1
66,nasi,1
66,mie,5
66,bakso,5
66,bubur,5
66,ayam,5
66,kue,5
66,buah,1
66,roti,5
66,jagung,1
66,kacang,1
66,tahu,5
66,sate,5
66,gorengan kering,5
66,es krim,1
66,ubi,1
66,luar negeri,1
66,gorengan basah,1
66,berkuah,1
66,cendol,5
66,es campur,5
66,bubble tea,5
66,susu,1
66,jus buah,5
66,soft drink,1
66,es doger,5
66,teh,5
66,kopi,1
66,air mineral,1
66,air kelapa,1
67,nasi goreng,5
67,mie kuah,1
67,nasi,1
67,mie,1
67,bakso,5
67,bubur,5
67,ayam,5
67,kue,1
67,buah,1
67,roti,1
67,jagung,1
67,kacang,1
67,tahu,1
67,sate,5
67,gorengan kering,1
67,es krim,1
67,ubi,1
67,luar negeri,1
67,gorengan basah,1
67,berkuah,1
67,cendol,1
67,es campur,5
67,bubble tea,1
67,susu,1
67,jus buah,1
67,soft drink,1
67,es doger,5
67,teh,1
67,kopi,1
67,air mineral,1
67,air kelapa,1
69,nasi goreng,5
69,mie kuah,5
69,nasi,5
69,mie,5
69,bakso,5
69,bubur,5
69,ayam,5
69,kue,5
69,buah,1
69,roti,5
69,jagung,1
69,kacang,1
69,tahu,1
69,sate,5
69,gorengan kering,1
69,es krim,5
69,ubi,1
69,luar negeri,5
69,gorengan basah,1
69,berkuah,1
69,cendol,1
69,es campur,5
69,bubble tea,5
69,susu,5
69,jus buah,1
69,soft drink,1
69,es doger,1
69,teh,5
69,kopi,5
69,air mineral,1
69,air kelapa,1
70,nasi goreng,5
70,mie kuah,1
70,nasi,1
70,mie,1
70,bakso,5
70,bubur,5
70,ayam,5
70,kue,1
70,buah,5
70,roti,5
70,jagung,1
70,kacang,1
70,tahu,1
70,sate,5
70,gorengan kering,5
70,es krim,5
70,ubi,1
70,luar negeri,1
70,gorengan basah,1
70,berkuah,1
70,cendol,5
70,es campur,5
70,bubble tea,1
70,susu,1
70,jus buah,5
70,soft drink,5
70,es doger,1
70,teh,5
70,kopi,5
70,air mineral,1
70,air kelapa,1
71,nasi goreng,5
71,mie kuah,5
